mrl,mrl_formatted,jmpr,ccpr,prior_ccpr,cac_year,lod,source_of_res,fat_ph,tev,footnote,footnote_ccpr,pesticide,commodity_code,commodity_name
0.3,0.3 mg/Kg,10,43,,2011,,,,,,,Thiamethoxam,AL 0072,Pea hay or pea fodder (dry)
30.0,30 mg/Kg,2004,38,37,2006,,,,,,,Pyraclostrobin,AL 0072,Pea hay or pea fodder (dry)
0.05,0.05 mg/Kg,98,34,32,2003,,,,,,,Quintozene,AL 0072,Pea hay or pea fodder (dry)
200.0,200 mg/Kg,"01,02",36,34,2004,,,,dry wt,,,Piperonyl Butoxide,AL 0072,Pea hay or pea fodder (dry)
500.0,500 mg/Kg,5,38,,2006,,,,,,,Glyphosate,AL 0072,Pea hay or pea fodder (dry)
100.0,100 mg/Kg,2017,50,,2018,,,,,,,Fluopyram,AL 0072,Pea hay or pea fodder (dry)
2.0,2 mg/Kg,8,41,,2009,,,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),AL 0072,Pea hay or pea fodder (dry)
1.0,1 mg/Kg,0,34,,2003,,,,,,,Pyrethrins,AL 0072,Pea hay or pea fodder (dry)
50.0,50 mg/Kg,2013,46,,2014,,,,,,,Diquat,AL 0072,Pea hay or pea fodder (dry)
0.2,0.2 mg/Kg,10,43,,2011,,T,,dry wt,,,Clothianidin,AL 0072,Pea hay or pea fodder (dry)
3.0,3 mg/Kg,7,40,,2008,,,,,,,Pyrimethanil,AL 0072,Pea hay or pea fodder (dry)
40.0,40 mg/Kg,2012,45,,2013,,,,dry wt,,,Fluxapyroxad,AL 0072,Pea hay or pea fodder (dry)
0.5,0.5 mg/Kg,5,38,,2006,,,,,,,Methiocarb,AL 0072,Pea hay or pea fodder (dry)
0.7,0.7 mg/Kg,2010,43,,2011,,,,,,,Bifenthrin,AL 0072,Pea hay or pea fodder (dry)
0.05,0.05 mg/Kg,2014,47,,2015,(*),,,,,,Imazamox,AL 0072,Pea hay or pea fodder (dry)
60.0,60 mg/Kg,2012,46,45,2014,,,(DM),,,,Penthiopyrad,AL 0072,Pea hay or pea fodder (dry)
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Sedaxane,AL 0072,Pea hay or pea fodder (dry)
40.0,40 mg/Kg,10,43,,2011,,,,,,,Flubendiamide,AL 0072,Pea hay or pea fodder (dry)
8.0,8 mg/Kg,2016,49,,2017,,,(dw),,,,Benzovindiflupyr,AL 0072,Pea hay or pea fodder (dry)
150.0,150 mg/Kg,2017,50,,2018,,,(dw),,,,Picoxystrobin,AL 0072,Pea hay or pea fodder (dry)
60.0,60 mg/Kg,6,39,,2007,,,,dry wt,,,Pirimicarb,AL 0072,Pea hay or pea fodder (dry)
60.0,60 mg/Kg,2015,48,,2016,,,(DM),,,,Cyantraniliprole,AL 0072,Pea hay or pea fodder (dry)
0.8,0.8 mg/Kg,2013,46,,2014,,,,dry wt,,,Cyantraniliprole,AL 0157,Legume animal feeds
0.2,0.2 mg/Kg,2014,47,,2015,,,,,,,Myclobutanil,AL 0157,Legume animal feeds
3.0,3 mg/Kg,2019,52,,2021,,,(dw),,(except alfalfa hay),,Acetochlor,AL 0157,Legume animal feeds
30.0,30 mg/Kg,2019,52,,2021,,,(dw),,,,Pydiflumetofen,AL 0157,Legume animal feeds
30.0,30 mg/Kg,11,44,,2012,,,,,,,Spirotetramat,AL 0157,Legume animal feeds
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Isoxaflutole,AL 0524,Chick-pea fodder
150.0,150 mg/Kg,2019,52,,2021,,,(dw),,,,Dicamba,AL 0541,Soya bean fodder
5.0,5 mg/Kg,2007,40,,2008,,,,,,,Propiconazole,AL 0541,Soya bean fodder
5.0,5 mg/Kg,2017,50,,2018,,,(dw),,,,Picoxystrobin,AL 0541,Soya bean fodder
200.0,200 mg/Kg,2012,46,45,2014,,,(DM),,,,Penthiopyrad,AL 0541,Soya bean fodder
50.0,50 mg/Kg,,,,,,,,dry wt,,,Permethrin,AL 0541,Soya bean fodder
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Imazamox,AL 0541,Soya bean fodder
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,Quintozene,AL 0541,Soya bean fodder
0.5,0.5 mg/Kg,4,38,37,2006,,,,dry wt,,,Paraquat,AL 0541,Soya bean fodder
4.0,4 mg/Kg,2016,49,,2017,,,(dw),,,,Fluazifop-p-butyl,AL 0541,Soya bean fodder
35.0,35 mg/Kg,2017,50,,2018,,,,,,,Fluopyram,AL 0541,Soya bean fodder
0.2,0.2 mg/Kg,1,36,"34,35",2004,,,,,,,Methomyl,AL 0541,Soya bean fodder
50.0,50 mg/Kg,2015,48,,2016,,,,,,,Imidacloprid,AL 0541,Soya bean fodder
60.0,60 mg/Kg,10,43,,2011,,,,,,,Flubendiamide,AL 0541,Soya bean fodder
0.1,0.1 mg/Kg,,32,,2001,,C,,,,,Carbendazim,AL 0541,Soya bean fodder
0.4,0.4 mg/Kg,2018,51,,2019,,,(DM),,,,Tioxazafen,AL 0541,Soya bean fodder
100.0,100 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,AL 0541,Soya bean fodder
0.01,0.01 mg/Kg,1998,34,32,2003,(*),,,,,,"2,4-D",AL 0541,Soya bean fodder
15.0,15 mg/Kg,2,36,35,2004,,,,,,,Carbaryl,AL 0541,Soya bean fodder
4.0,4 mg/Kg,12,45,,2013,,,,,,,Cyfluthrin/beta-cyfluthrin,AL 0541,Soya bean fodder
3.0,3 mg/Kg,10,43,,2011,,,,,,,Cyproconazole,AL 0541,Soya bean fodder
30.0,30 mg/Kg,2012,45,,2013,,,,dry wt,,,Fluxapyroxad,AL 0541,Soya bean fodder
80.0,80 mg/Kg,2015,48,,2016,,,(DM),,,,Cyantraniliprole,AL 0541,Soya bean fodder
7.0,7 mg/Kg,2018,51,,2018,,,(DM),,,,Chlorfenapyr,AL 0541,Soya bean fodder
3.0,3 mg/Kg,2011,45,44,2013,,,,,,,Sulfoxaflor,AL 0541,Soya bean fodder
50.0,50 mg/Kg,5,38,,2006,,,,,,,Indoxacarb,AL 0697,Peanut fodder
15.0,15 mg/Kg,2014,47,,2015,,,,,,,Prothioconazole,AL 0697,Peanut fodder
5.0,5 mg/Kg,1995,31,28-30,1999,,c,,,,,Dithiocarbamates,AL 0697,Peanut fodder
15.0,15 mg/Kg,9,45,"43,44",2013,,,,,,,Fenbuconazole,AL 0697,Peanut fodder
5.0,5 mg/Kg,4,38,37,2006,,,,,,,Trifloxystrobin,AL 0697,Peanut fodder
47.0,47 mg/Kg,2017,50,,2018,,,,,,,Fluopyram,AL 0697,Peanut fodder
50.0,50 mg/Kg,2004,38,37,2006,,,,,,,Pyraclostrobin,AL 0697,Peanut fodder
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Dimethenamid-P,AL 0697,Peanut fodder
40.0,40 mg/Kg,11,44,,2012,,,,,,,Tebuconazole,AL 0697,Peanut fodder
30.0,30 mg/Kg,2012,46,45,2014,,,(DM),,,,Penthiopyrad,AL 0697,Peanut fodder
30.0,30 mg/Kg,8,41,,2009,,,,,,,Imidacloprid,AL 0697,Peanut fodder
30.0,30 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,AL 0697,Peanut fodder
5.0,5 mg/Kg,9,43,,2011,,,,,,,Haloxyfop,AL 0697,Peanut fodder
15.0,15 mg/Kg,2016,49,,2017,,,(dw),,,,Benzovindiflupyr,AL 0697,Peanut fodder
80.0,80 mg/Kg,9,42,,2010,,,,,,,Methoxyfenozide,AL 0697,Peanut fodder
40.0,40 mg/Kg,11,45,44,2013,,,,,,,Diflubenzuron,AL 0697,Peanut fodder
20.0,20 mg/Kg,11,44,,2012,,,,,,,Flutriafol,AL 0697,Peanut fodder
3.0,3 mg/Kg,3,38,"36,37",2006,,Th,,,,,Carbendazim,AL 0697,Peanut fodder
0.5,0.5 mg/Kg,2013,46,,2014,,,,,,,Bentazone,AL 1020,Alfalfa fodder
5.0,5 mg/Kg,,,,1995,,,,dry wt,,,Disulfoton,AL 1020,Alfalfa fodder
20.0,20 mg/Kg,1,37,34-36,2005,,,,,,,Methomyl,AL 1020,Alfalfa fodder
500.0,500 mg/Kg,5,38,,2006,,,,,,,Glyphosate,AL 1020,Alfalfa fodder
30.0,30 mg/Kg,8,41,,2009,,,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),AL 1020,Alfalfa fodder
4.0,4 mg/Kg,2016,49,,2017,,,(dw),,,,Pendimethalin,AL 1020,Alfalfa fodder
0.1,0.1 mg/Kg,2014,47,,2015,(*),,,,,,Imazamox,AL 1020,Alfalfa fodder
10.0,10 mg/Kg,97,35,31-34,2003,,,,,,Recommended for withdrawal,Clethodim,AL 1020,Alfalfa fodder
50.0,50 mg/Kg,10,43,,2011,,,,,,,Chlorantraniliprole,AL 1020,Alfalfa fodder
100.0,100 mg/Kg,,,,,,,,dry wt,,,Permethrin,AL 1020,Alfalfa fodder
3.0,3 mg/Kg,2015,48,,2016,,,(dw),,,,Flumioxazin,AL 1020,Alfalfa fodder
30.0,30 mg/Kg,2011,44,,2012,,,,,,,Pyraclostrobin,AL 1020,Alfalfa fodder
20.0,20 mg/Kg,2012,46,45,2014,,,(DM),,,,Penthiopyrad,AL 1020,Alfalfa fodder
5.0,5 mg/Kg,0,35,34,2003,,,,,,,Chlorpyrifos,AL 1020,Alfalfa fodder
7.0,7 mg/Kg,2018,51,,2019,,,(DM),,,,Norflurazon,AL 1020,Alfalfa fodder
0.06,0.06 mg/Kg,2016,49,,2017,,,,,,,Saflufenacil,AL 1020,Alfalfa fodder
10.0,10 mg/Kg,2019,52,,2021,,,(dw),,,,Picoxystrobin,AL 1020,Alfalfa fodder
60.0,60 mg/Kg,5,38,,2006,,,,,,,Indoxacarb,AL 1020,Alfalfa fodder
1.5,1.5 mg/Kg,2016,49,,2017,,,(dw),,,,Imazethapyr,AL 1031,Clover hay or fodder
10.0,10 mg/Kg,,,,,,,,,,,Disulfoton,AL 1031,Clover hay or fodder
20.0,20 mg/Kg,2018,51,,2019,,,(DM),,,,Fluxapyroxad,AL 3350,Alfalfa hay
30.0,30 mg/Kg,2016,49,,2017,,,(dw),,,,Flupyradifurone,AL 3350,Alfalfa hay
30.0,30 mg/Kg,2019,52,,2021,,,(dw),,,,Acetochlor,AL 3350,Alfalfa hay
30.0,30 mg/Kg,2016,49,,2017,,,,,,,Flupyradifurone,AL 3351,Bean hay
30.0,30 mg/Kg,2016,49,,2017,,,(dw),,,,Flupyradifurone,AL 3352,Peanut hay
50.0,50 mg/Kg,2016,49,,2017,,,(dw),,,,Flupyradifurone,AL 3353,Pea hay
8.0,8 mg/Kg,2019,52,,2021,,,(dw),,,,Metconazole,AL 3354,Soya bean hay
40.0,40 mg/Kg,2016,49,,2017,,,(dw),,,,Flupyradifurone,AL 3354,Soya bean hay
0.02,0.02 mg/Kg,2018,51,,2019,,,,,,,Oxathiapiprolin,AL 3354,Soya bean hay
0.02,0.02 mg/Kg,2013,46,,2014,,,,,,,Cyantraniliprole,AM 0506,Turnip fodder
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Isoxaflutole,AM 0659,Sugar cane fodder
0.02,0.02 mg/Kg,,,,,(*),,,,,,Ethoprophos,AM 0659,Sugar cane fodder
5.0,5 mg/Kg,7,40,,2008,,,,,,,Clofentezine,AM 0660,Almond hulls
0.6,0.6 mg/Kg,2019,52,,2021,,,(dw),,,,Afidopyropen,AM 0660,Almond hulls
20.0,20 mg/Kg,1995,31,28-30,1999,,"N,z",,,,,Dithiocarbamates,AM 0660,Almond hulls
50.0,50 mg/Kg,2,36,35,2004,,,,,,,Carbaryl,AM 0660,Almond hulls
3.0,3 mg/Kg,4,38,37,2006,,,,,,,Trifloxystrobin,AM 0660,Almond hulls
4.0,4 mg/Kg,2014,47,,2015,,,,,,,Cyflumetofen,AM 0660,Almond hulls
0.8,0.8 mg/Kg,2016,49,,2017,,,(dw),,,,Isofetamid,AM 0660,Almond hulls
10.0,10 mg/Kg,6,39,,2007,,,,,,,Thiacloprid,AM 0660,Almond hulls
2.0,2 mg/Kg,8,41,,2009,,,,,,,Cyhalothrin (includes lambda-cyhalothrin),AM 0660,Almond hulls
0.05,0.05 mg/Kg,2003,37,36,2005,(*),,,,,,Cyprodinil,AM 0660,Almond hulls
15.0,15 mg/Kg,9,42,,2010,,,,,,,Spirodiclofen,AM 0660,Almond hulls
5.0,5 mg/Kg,,,,1995,,,,,,,Diazinon,AM 0660,Almond hulls
10.0,10 mg/Kg,6,39,,2007,,,,,,,Bifenazate,AM 0660,Almond hulls
7.0,7 mg/Kg,2016,49,,2017,,,(dw),,,,Pendimethalin,AM 0660,Almond hulls
10.0,10 mg/Kg,2014,47,,2015,,,,,,,Fenpropathrin,AM 0660,Almond hulls
7.0,7 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,AM 0660,Almond hulls
3.0,3 mg/Kg,2019,52,,2021,,,,,,,Buprofezin,AM 0660,Almond hulls
0.04,0.04 mg/Kg,2019,52,,2021,,,(dw),,,,Mesotrione,AM 0660,Almond hulls
6.0,6 mg/Kg,2019,52,,2021,,,,,,,Cyclaniliprole,AM 0660,Almond hulls
7.0,7 mg/Kg,2019,52,,2021,,,(dw),,,,Fluensulfone,AM 0660,Almond hulls
3.0,3 mg/Kg,10,43,,2011,,,,,,,Etoxazole,AM 0660,Almond hulls
15.0,15 mg/Kg,9,42,,2010,,,,,,,Boscalid,AM 0660,Almond hulls
4.0,4 mg/Kg,2019,52,,2021,,,(dw),,,,Fenazaquin,AM 0660,Almond hulls
9.0,9 mg/Kg,"2015, 2016","48,49",,2017,,,,,,,Flonicamid,AM 0660,Almond hulls
50.0,50 mg/Kg,2,36,35,2004,,,,,,,Propargite,AM 0660,Almond hulls
50.0,50 mg/Kg,3,37,36,2005,,,,,,,Methoxyfenozide,AM 0660,Almond hulls
30.0,30 mg/Kg,1,36,"34,35",2004,,,,,,,Tebufenozide,AM 0660,Almond hulls
2.0,2 mg/Kg,5,38,,2006,,,,,,,Fenhexamid,AM 0660,Almond hulls
10.0,10 mg/Kg,10,43,,2011,,,,,,,Flubendiamide,AM 0660,Almond hulls
12.0,12 mg/Kg,7,40,,2008,,,,,,,Pyrimethanil,AM 0660,Almond hulls
6.0,6 mg/Kg,2012,46,45,2014,,,(DM),,,,Penthiopyrad,AM 0660,Almond hulls
5.0,5 mg/Kg,8,41,,2009,,,,,,,Imidacloprid,AM 0660,Almond hulls
0.01,0.01 mg/Kg,4,38,37,2006,(*),,,,,,Paraquat,AM 0660,Almond hulls
10.0,10 mg/Kg,8,41,,2009,,,,,,,Spirotetramat,AM 0660,Almond hulls
0.2,0.2 mg/Kg,2015,48,,2016,,,,,,,Abamectin,AM 0660,Almond hulls
3.0,3 mg/Kg,9,45,"43,44",2013,,,,,,,Fenbuconazole,AM 0660,Almond hulls
20.0,20 mg/Kg,5,38,,2006,,,,,,,Indoxacarb,AM 0691,"Cotton fodder, dry"
0.5,0.5 mg/Kg,4,37,,2005,,,,,,,Methomyl,AM 0738,Mint hay
0.02,0.02 mg/Kg,2013,46,,2014,,,,,,,Cyantraniliprole,AM 1051,Fodder beet
0.5,0.5 mg/Kg,2016,49,,2017,,,,,,,Fluazifop-p-butyl,AM 1051,Fodder beet
0.1,0.1 mg/Kg,97,35,31-34,2003,(*),,,,,Recommended for withdrawal,Clethodim,AM 1051,Fodder beet
0.02,0.02 mg/Kg,3,37,36,2005,,,,,,,Methamidophos,AM 1051,Fodder beet
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Dimethenamid-P,AM 1051,Fodder beet
0.4,0.4 mg/Kg,9,43,,2011,,,,,,,Haloxyfop,AM 1051,Fodder beet
8.0,8 mg/Kg,2019,52,,2021,,,(dw),,,,Spirotetramat,AV 0596,Sugar beet leaves or tops (dry)
3.0,3 mg/Kg,2015,48,,2016,,,(dw),,,,Flutriafol,AV 0596,Sugar beet leaves or tops (dry)
3.0,3 mg/Kg,2015,48,,2016,,,,,,,Acetochlor,AV 0596,Sugar beet leaves or tops (dry)
50.0,50 mg/Kg,2,36,35,2004,,,,,,,Carbaryl,AF 1053,Sorghum forage (dry)
1.0,1 mg/Kg,2019,52,,2021,,,(dw),,,,Bifenthrin,AS 0081,Straw and hay of cereal grains except pseudocereals
10.0,10 mg/Kg,2003,37,36,2005,,,,,,,Cyprodinil,AS 0081,Straw and hay of cereal grains except pseudocereals
0.4,0.4 mg/Kg,2014,47,,2015,,FL,,,,,Dichlobenil,AS 0081,Straw and hay of cereal grains except pseudocereals
5.0,5 mg/Kg,9,42,,2010,,,,dry wt,"Except straw and fodder of barley, oats, rye and wheat.",,Boscalid,AS 0081,Straw and hay of cereal grains except pseudocereals
6.0,6 mg/Kg,2019,52,,2021,,,(dw),,(except maize fodder and rice straw and fodder dry),,Fluensulfone,AS 0081,Straw and hay of cereal grains except pseudocereals
4.0,4 mg/Kg,9,42,,2010,,,,,,,Prothioconazole,AS 0081,Straw and hay of cereal grains except pseudocereals
0.2,0.2 mg/Kg,9,42,,2010,,,,,,,Fluopicolide,AS 0081,Straw and hay of cereal grains except pseudocereals
0.06,0.06 mg/Kg,2004,38,37,2006,(*),,,,,,Fludioxonil,AS 0081,Straw and hay of cereal grains except pseudocereals
1.5,1.5 mg/Kg,11,45,44,2013,,,,,,,Diflubenzuron,AS 0081,Straw and hay of cereal grains except pseudocereals
0.3,0.3 mg/Kg,2014,47,,2015,,,,,,,Myclobutanil,AS 0081,Straw and hay of cereal grains except pseudocereals
15.0,15 mg/Kg,2013,46,,2014,,,,dry wt,(except maize and sorghum),,Azoxystrobin,AS 0081,Straw and hay of cereal grains except pseudocereals
0.45,0.45 mg/Kg,2019,52,,2021,,,(dw),,,See cherries,Cyclaniliprole,AS 0081,Straw and hay of cereal grains except pseudocereals
5.0,5 mg/Kg,10,43,,2011,,,,,"Except maize, rice and sorghum",,Cyproconazole,AS 0081,Straw and hay of cereal grains except pseudocereals
5.0,5 mg/Kg,7,40,,2008,,,,,Except rice,,Flusilazole,AS 0081,Straw and hay of cereal grains except pseudocereals
5.0,5 mg/Kg,7,40,,2008,,,,,Except maize. Based on triadimefon and triadimenol uses,,Triadimefon,AS 0081,Straw and hay of cereal grains except pseudocereals
40.0,40 mg/Kg,4,37,,2005,,,,,,,Prochloraz,AS 0081,Straw and hay of cereal grains except pseudocereals
2.0,2 mg/Kg,8,41,,2009,,,,,,,Cyhalothrin (includes lambda-cyhalothrin),AS 0081,Straw and hay of cereal grains except pseudocereals
3.0,3 mg/Kg,2018,51,,2019,,,(DM),,,,Kresoxim-Methyl,AS 0081,Straw and hay of cereal grains except pseudocereals
0.3,0.3 mg/Kg,6,39,,2007,,,,dry wt,"Except rice straw and fodder, dry",,Pirimicarb,AS 0081,Straw and hay of cereal grains except pseudocereals
40.0,40 mg/Kg,2016,49,,2017,,,(dw),,,,Flupyradifurone,AS 0081,Straw and hay of cereal grains except pseudocereals
30.0,30 mg/Kg,2004,38,37,2006,,,,,,,Pyraclostrobin,AS 0081,Straw and hay of cereal grains except pseudocereals
0.01,0.01 mg/Kg,2015,48,,2016,,,,E,,,Lindane,AS 0081,Straw and hay of cereal grains except pseudocereals
10.0,10 mg/Kg,8,41,,2009,,,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),AS 0081,Straw and hay of cereal grains except pseudocereals
5.0,5 mg/Kg,7,40,,2008,,,,,Except maize,Based on triadimefon and triadimenol uses,Triadimenol,AS 0081,Straw and hay of cereal grains except pseudocereals
10.0,10 mg/Kg,1,36,"34,35",2004,,,,,,,Methomyl,AS 0161,"Straw, fodder (dry) and hay of cereal grains and other grass-like plants"
0.1,0.1 mg/Kg,2014,47,,2015,,,,,,,Sedaxane,AS 0161,"Straw, fodder (dry) and hay of cereal grains and other grass-like plants"
0.2,0.2 mg/Kg,2013,46,,2014,,,,dry wt,,,Cyantraniliprole,AS 0161,"Straw, fodder (dry) and hay of cereal grains and other grass-like plants"
30.0,30 mg/Kg,2016,49,,2017,,,(dw),,,,Chlorantraniliprole,AS 0161,"Straw, fodder (dry) and hay of cereal grains and other grass-like plants"
400.0,400 mg/Kg,1998,34,32,2003,,,,,,,"2,4-D",AS 0162,Hay or fodder (dry) of grasses
6.0,6 mg/Kg,2015,48,,2016,,,,,,,Imazapyr,AS 0162,Hay or fodder (dry) of grasses
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,Wheat hay,,Flumioxazin,AS 0162,Hay or fodder (dry) of grasses
15.0,15 mg/Kg,2019,52,,2021,,,,,"(except maize fodder and rice straw and fodder, dry)",,Fluensulfone,AS 0162,Hay or fodder (dry) of grasses
70.0,70 mg/Kg,7,40,,2008,,,,,,,Aminopyralid,AS 0162,Hay or fodder (dry) of grasses
30.0,30 mg/Kg,2016,49,,2017,,,,,,,Saflufenacil,AS 0162,Hay or fodder (dry) of grasses
30.0,30 mg/Kg,10,43,,2011,,,,,,,Dicamba,AS 0162,Hay or fodder (dry) of grasses
500.0,500 mg/Kg,12,45,,2013,,,,,,,MCPA,AS 0162,Hay or fodder (dry) of grasses
2500.0,"2,500 mg/Kg",2016,49,,2017,,,(dw),,,,Pendimethalin,AS 0162,Hay or fodder (dry) of grasses
2.0,2 mg/Kg,2013,46,,2014,,,,,,,Bentazone,AS 0162,Hay or fodder (dry) of grasses
150.0,150 mg/Kg,2014,47,,2015,,,,,,,Aminocyclopyrachlor,AS 0162,Hay or fodder (dry) of grasses
3.0,3 mg/Kg,11,45,44,2013,,,,,,,Diflubenzuron,AS 0162,Hay or fodder (dry) of grasses
500.0,500 mg/Kg,5,38,,2006,,,,,,,Glyphosate,AS 0162,Hay or fodder (dry) of grasses
3.0,3 mg/Kg,2013,46,,2014,,,,,,,Imazapic,AS 0162,Hay or fodder (dry) of grasses
0.3,0.3 mg/Kg,7,40,,2008,,,,,,,Aminopyralid,AS 0163,Straw of cereal grains
5.0,5 mg/Kg,9,42,,2010,,,,,,,Prothioconazole,AS 0164,Fodder (dry) of cereal grains
3.0,3 mg/Kg,7,40,,2008,,,,,,,Aminopyralid,AS 0164,Fodder (dry) of cereal grains
4.0,4 mg/Kg,9,42,,2010,,,,,,,Spirodiclofen,AS 0447,Sweet corn fodder
5.0,5 mg/Kg,2,36,35,2004,,,,,,,Imidacloprid,AS 0447,Sweet corn fodder
2.0,2 mg/Kg,7,40,,2008,,,,,,,Flusilazole,AS 0447,Sweet corn fodder
40.0,40 mg/Kg,7,40,,2008,,,,,,,Pyrimethanil,AS 0447,Sweet corn fodder
50.0,50 mg/Kg,,,,,,,,,,,Permethrin,AS 0447,Sweet corn fodder
0.15,0.15 mg/Kg,2017,50,,2018,,,,,,,Spinetoram,AS 0447,Sweet corn fodder
20.0,20 mg/Kg,2006,39,,2007,,,,,,,Fludioxonil,AS 0447,Sweet corn fodder
40.0,40 mg/Kg,2015,48,,2016,,,,,,,Acetamiprid,AS 0447,Sweet corn fodder
7.0,7 mg/Kg,3,37,36,2005,,,,,,,Methoxyfenozide,AS 0447,Sweet corn fodder
1.0,1 mg/Kg,9,45,43,2013,,,,,,,Fenbuconazole,AS 0447,Sweet corn fodder
15.0,15 mg/Kg,2014,47,,2015,,,,,,Tentative commodity code,Prothioconazole,AS 0447,Sweet corn fodder
40.0,40 mg/Kg,5,38,,2006,,,,,,,Novaluron,AS 0447,Sweet corn fodder
1.5,1.5 mg/Kg,2015,48,,2016,,,,,,,Acetochlor,AS 0447,Sweet corn fodder
0.01,0.01 mg/Kg,2017,50,,2018,(*),,(dw),,,,Difenoconazole,AS 0447,Sweet corn fodder
0.5,0.5 mg/Kg,2017,50,,2018,,,(dw),,,,Bicyclopyrone,AS 0447,Sweet corn fodder
0.05,0.05 mg/Kg,99,33,,2001,(*),,,,,,Bitertanol,AS 0640,"Barley, hay and/or straw"
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,Quintozene,AS 0640,"Barley, hay and/or straw"
7.0,7 mg/Kg,2017,50,,2018,,,(dw),,,,Picoxystrobin,AS 0640,"Barley, hay and/or straw"
3.0,3 mg/Kg,2011,45,44,2013,,,,,,,Sulfoxaflor,AS 0640,"Barley, hay and/or straw"
0.2,0.2 mg/Kg,10,43,,2011,,"T,c",,dry wt,,Recommended for withdrawal by JMPR (2021),Clothianidin,AS 0640,"Barley, hay and/or straw"
25.0,25 mg/Kg,1995,31,28-30,1999,,"C,n",,,,,Dithiocarbamates,AS 0640,"Barley, hay and/or straw"
0.8,0.8 mg/Kg,2017,50,,2018,,,(dw),,,,Bicyclopyrone,AS 0640,"Barley, hay and/or straw"
6.0,6 mg/Kg,2014,47,,2015,,,,(dw),,,Metrafenone,AS 0640,"Barley, hay and/or straw"
0.3,0.3 mg/Kg,2015,48,,2016,,,,,,,Acetochlor,AS 0640,"Barley, hay and/or straw"
50.0,50 mg/Kg,12,45,,2013,,,,,,,MCPA,AS 0640,"Barley, hay and/or straw"
1.0,1 mg/Kg,2,36,35,2004,,,,,,,Imidacloprid,AS 0640,"Barley, hay and/or straw"
50.0,50 mg/Kg,2019,52,,2021,,,(dw),,,,Pydiflumetofen,AS 0640,"Barley, hay and/or straw"
7.0,7 mg/Kg,4,38,37,2006,,,,,,,Trifloxystrobin,AS 0640,"Barley, hay and/or straw"
50.0,50 mg/Kg,10,43,,2011,,,,,,,Dicamba,AS 0640,"Barley, hay and/or straw"
80.0,80 mg/Kg,2012,46,45,2014,,,(DM),,,,Penthiopyrad,AS 0640,"Barley, hay and/or straw"
25.0,25 mg/Kg,2019,52,,2021,,,(dw),,,,Metconazole,AS 0640,"Barley, hay and/or straw"
