mrl,mrl_formatted,jmpr,ccpr,prior_ccpr,cac_year,lod,source_of_res,fat_ph,tev,footnote,footnote_ccpr,step,pesticide,commodity_code,commodity_name
10.0,10 mg/Kg,,31,,1999,,,Po,,"To apply at point of entry into a country and, in case of cereal for milling, if product has been freely exposed to air for a period of at least 24 h after fumigation and before",,CXL,Methyl Bromide,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,,31,,1999,(*),,,,To apply to commodity at point of retail sale or when offered for consumption,,CXL,Methyl Bromide,CP 0179,Bread and other cooked cereal products
5.0,5 mg/Kg,,31,,1999,,,Po,,"To apply at point of entry into a country and, in case of cereal for milling, if product has been freely exposed to air for a period of at least 24 h after fumigation and before",,CXL,Methyl Bromide,SB 0715,Cacao beans
0.01,0.01 mg/Kg,,31,,1999,(*),,Po,,To apply to commodity at point of retail sale or when offered for consumption,,CXL,Methyl Bromide,SO 0697,Peanut
10.0,10 mg/Kg,,31,,1999,,,Po,,"To apply at point of entry into a country and, in case of cereal for milling, if product has been freely exposed to air for a period of at least 24 h after fumigation and before",,CXL,Methyl Bromide,SO 0697,Peanut
2.0,2 mg/Kg,,31,,1999,,,Po,,"To apply at point of entry into a country and, in case of cereal for milling, if product has been freely exposed to air for a period of at least 24 h after fumigation and before",,CXL,Methyl Bromide,DF 0167,Dried fruits
0.01,0.01 mg/Kg,,31,,1999,(*),,Po,,To apply to commodity at point of retail sale or when offered for consumption,,CXL,Methyl Bromide,AO6 0001,Cocoa products
5.0,5 mg/Kg,,31,,1999,,,Po,,"To apply at point of entry into a country and, in case of cereal for milling, if product has been freely exposed to air for a period of at least 24 h after fumigation and before",,CXL,Methyl Bromide,GC 0080,Cereal grains
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,FP 0009,Pome fruits (group)
20.0,20 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,AB 0596,"Sugar beet pulp, dry"
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,VL 0483,"Lettuce, leaf"
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,SO 0305,Olives for oil production
4.0,4 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VR 0506,"Turnip, Garden"
7.0,7 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,SO 0702,Sunflower seed
0.06,0.06 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,AB 0001,"Citrus pulp, dried"
0.5,0.5 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VR 0596,Sugar beet
0.4,0.4 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VO 0440,Egg plant
7.0,7 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,DM 0596,Sugar beet molasses
0.03,0.03 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,PE 0112,Eggs
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,TN 0672,Pecan
3.0,3 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VD 0561,Field pea (dry)
0.3,0.3 mg/Kg,2019,52,,2021,,,,,,,CXL,Fluazifop-p-butyl,FB 0267,Elderberries
7.0,7 mg/Kg,2016,49,,2017,,,(dw),,,,CXL,Fluazifop-p-butyl,AL 0061,Bean fodder
0.09,0.09 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,MF 0100,Mammalian fats (except milk fats)
0.3,0.3 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VA 0388,Shallot
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,TN 0678,Walnuts
0.4,0.4 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VO 0448,Tomato
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,GC 669,Macadamia nuts
0.2,0.2 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,MO 0105,Edible offal (mammalian)
0.5,0.5 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,AM 1051,Fodder beet
3.0,3 mg/Kg,2019,52,,2021,,,,,,,CXL,Fluazifop-p-butyl,FB 0275,Strawberry
0.05,0.05 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,OR 0004,"Orange oil, edible"
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,SB 0716,Coffee beans
0.3,0.3 mg/Kg,2019,52,,2021,,,,,,,CXL,Fluazifop-p-butyl,FB 2254,Guelder rose
0.03,0.03 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,PF 0111,Poultry fats
0.09,0.09 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,PO 0111,"Poultry, edible offal of"
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,FS 0012,Stone fruits (group)
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,TN 0660,Almonds
15.0,15 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VP 0064,"Peas, shelled (succulent seeds)"
0.7,0.7 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,SO 0691,Cotton seed
0.3,0.3 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VA 0381,Garlic
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,FB 0269,Grapes
4.0,4 mg/Kg,2016,49,,2017,,,(dw),,,,CXL,Fluazifop-p-butyl,AL 0541,Soya bean fodder
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,FI 0327,Banana
15.0,15 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VD 0541,Soya bean (dry)
0.3,0.3 mg/Kg,2019,52,,2021,,,,,,,CXL,Fluazifop-p-butyl,FB 2006,Bush berries (subgroup)
0.4,0.4 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VR 0578,Celeriac
0.2,0.2 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,ML 0106,Milks
3.0,3 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VB 0041,"Cabbages, head"
0.6,0.6 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VR 0589,Potato
6.0,6 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VP 0061,Beans with pods (Phaseolus spp.) immature pods and succulent seeds)
40.0,40 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VD 0071,Beans (dry)
0.03,0.03 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,PM 0110,Poultry meat
0.09,0.09 mg/Kg,2016,49,,2017,,,(fat),,,,CXL,Fluazifop-p-butyl,MM 0095,Meat (from mammals other than marine mammals)
0.6,0.6 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VR 0577,Carrot
4.0,4 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VR 0497,Swede
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,GS 0659,Sugar cane
2.0,2 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VP 0063,Peas (pods and succulent=immature seeds)
0.08,0.08 mg/Kg,2019,52,,2021,,,,,,,CXL,Fluazifop-p-butyl,FB 2005,Cane berries (subgroup)
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,FT 0305,Table olives
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Fluazifop-p-butyl,FC 0001,Citrus fruits (group)
0.3,0.3 mg/Kg,2016,49,,2017,,,,,,,CXL,Fluazifop-p-butyl,VA 0385,"Onion, bulb"
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FP 0009,Pome fruits (group)
0.05,0.05 mg/Kg,12,45,,2013,(*),,,,,,CXL,Glufosinate-Ammonium,PM 0110,Poultry meat
0.15,0.15 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FS 0012,Stone fruits (group)
1.5,1.5 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,VR 0596,Sugar beet
0.05,0.05 mg/Kg,12,45,,2013,(*),,,,,,CXL,Glufosinate-Ammonium,OC 0495,"Rape seed oil, crude"
0.05,0.05 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,VD 0526,Common bean (dry)
2.0,2 mg/Kg,2014,47,,2015,,,,,,,CXL,Glufosinate-Ammonium,VD 0541,Soya bean (dry)
2.0,2 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,AS 0649,"Rice, hay and/or straw"
0.05,0.05 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,VL 0470,Corn salad
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,GC 0645,Maize
1.5,1.5 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,SO 0495,Rape seed
0.05,0.05 mg/Kg,12,45,,2013,(*),,,,,,CXL,Glufosinate-Ammonium,PE 0112,Eggs
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FB 0020,Blueberries
1.0,1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,AL 0061,Bean fodder
0.6,0.6 mg/Kg,2012,46,45,2014,,,,,,,CXL,Glufosinate-Ammonium,FI 0341,Kiwifruit
0.9,0.9 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,GC 0649,Rice
0.4,0.4 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,VL 0482,"Lettuce, head"
0.3,0.3 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FB 0275,Strawberry
0.05,0.05 mg/Kg,12,45,,2013,(*),,,,,,CXL,Glufosinate-Ammonium,VP 0526,Common bean (pods and/or immature seeds)
5.0,5 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,SO 0691,Cotton seed
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FB 0272,"Raspberries, red, black"
0.2,0.2 mg/Kg,2012,46,45,2014,,,,,,,CXL,Glufosinate-Ammonium,FI 0327,Banana
0.05,0.05 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,MM 0095,Meat (from mammals other than marine mammals)
1.0,1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FB 0021,"Currants, black, red, white"
0.05,0.05 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FC 0001,Citrus fruits (group)
0.15,0.15 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FB 0269,Grapes
0.4,0.4 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,VS 0621,Asparagus
8.0,8 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,AS 0645,Maize fodder (dry)
8.0,8 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,DM 0596,Sugar beet molasses
0.1,0.1 mg/Kg,12,45,,2013,(*),,,,,,CXL,Glufosinate-Ammonium,PO 0111,"Poultry, edible offal of"
0.4,0.4 mg/Kg,2012,46,45,2014,,,,,,,CXL,Glufosinate-Ammonium,VL 0483,"Lettuce, leaf"
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,VR 0589,Potato
3.0,3 mg/Kg,2012,46,45,2014,,,,,,,CXL,Glufosinate-Ammonium,MO 0105,Edible offal (mammalian)
0.02,0.02 mg/Kg,12,45,,2013,(*),,,,,,CXL,Glufosinate-Ammonium,ML 0106,Milks
0.05,0.05 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,VA 0385,"Onion, bulb"
0.05,0.05 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,VR 0577,Carrot
0.1,0.1 mg/Kg,12,45,,2013,,,,,(except banana and kiwifruit),,CXL,Glufosinate-Ammonium,FI 0030,Assorted tropical and sub-tropical fruits - inedible peel
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,SB 0716,Coffee beans
0.3,0.3 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,DF 0014,Prunes
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,TN 0085,Tree nuts (group)
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FB 0268,Gooseberry
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,CXL,Glufosinate-Ammonium,FT 0026,Assorted tropical and sub-tropical fruits - edible peel
0.1,0.1 mg/Kg,"94,97",35,"28,31-34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,VR 0596,Sugar beet
0.2,0.2 mg/Kg,99,35,"33,34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,PM 0110,Poultry meat
0.5,0.5 mg/Kg,"94,97",35,"28,31-34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,OR 0541,"Soya bean oil, refined"
0.2,0.2 mg/Kg,99,35,"33,34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,MM 0095,Meat (from mammals other than marine mammals)
0.5,0.5 mg/Kg,99,35,"28,31,33,34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,SO 0702,Sunflower seed
0.5,0.5 mg/Kg,99,35,"28,31,33,34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,VR 0589,Potato
0.05,0.05 mg/Kg,99,35,"33,34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,ML 0106,Milks
0.5,0.5 mg/Kg,"94,97",35,"28,31-34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,OR 0495,"Rape seed oil, edible"
0.5,0.5 mg/Kg,"94,97",35,"28,31-34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,OC 0691,"Cotton seed oil, crude"
2.0,2 mg/Kg,"94,97",35,"28,31-34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,VD 0561,Field pea (dry)
0.2,0.2 mg/Kg,99,35,33,2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,PO 0111,"Poultry, edible offal of"
1.0,1 mg/Kg,97,35,31-34,,,,,,,Recommended for withdrawal,CXL,Clethodim,VO 0448,Tomato
1.0,1 mg/Kg,94,35,"28,31-34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,OC 0541,"Soya bean oil, crude"
10.0,10 mg/Kg,97,35,31-34,2003,,,,,,Recommended for withdrawal,CXL,Clethodim,AL 1020,Alfalfa fodder
0.5,0.5 mg/Kg,97,35,31-34,2003,,,,,,Recommended for withdrawal,CXL,Clethodim,VA 0381,Garlic
0.2,0.2 mg/Kg,99,35,"33,34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,MO 0105,Edible offal (mammalian)
2.0,2 mg/Kg,99,35,"28, 31-34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,VD 0071,Beans (dry)
0.5,0.5 mg/Kg,97,35,31-34,2003,,,,,,Recommended for withdrawal,CXL,Clethodim,VA 0385,"Onion, bulb"
10.0,10 mg/Kg,94,35,"28,31-34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,VD 0541,Soya bean (dry)
0.1,0.1 mg/Kg,99,35,"28,31,33,34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,OC 0702,"Sunflower seed oil, crude"
0.5,0.5 mg/Kg,94,35,"28,31-34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,SO 0691,Cotton seed
0.5,0.5 mg/Kg,97,35,31-34,2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,VP 0061,Beans with pods (Phaseolus spp.) immature pods and succulent seeds)
0.1,0.1 mg/Kg,97,35,31-34,2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,AM 1051,Fodder beet
0.5,0.5 mg/Kg,94,35,"28,31-34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,SO 0495,Rape seed
0.5,0.5 mg/Kg,"94,97",35,"28,31-34",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,OC 0495,"Rape seed oil, crude"
10.0,10 mg/Kg,99,35,"33, 34",2003,,,,,,Recommended for withdrawal,CXL,Clethodim,AL 0061,Bean fodder
5.0,5 mg/Kg,97,35,31-34,2003,,,,,,Recommended for withdrawal,CXL,Clethodim,SO 0697,Peanut
0.5,0.5 mg/Kg,"94,97",35,"28,31-33",2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,OR 0691,"Cotton seed oil, edible"
0.05,0.05 mg/Kg,99,35,33,2003,(*),,,,,Recommended for withdrawal,CXL,Clethodim,PE 0112,Eggs
0.05,0.05 mg/Kg,1,36,34,2004,,,,,,,CXL,Methomyl,AB 1203,"Cotton seed, meal"
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,GC 0645,Maize
0.3,0.3 mg/Kg,8,42,41,2010,,,,,,,CXL,Methomyl,FP 0226,Apple
0.2,0.2 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,AL 0541,Soya bean fodder
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,ML 0106,Milks
1.0,1 mg/Kg,1,45,,2013,,,,,,,CXL,Methomyl,FC 0001,Citrus fruits (group)
0.02,0.02 mg/Kg,,36,"34,35",2004,(*),,,,,,CXL,Methomyl,PE 0112,Eggs
0.2,0.2 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,OR 0541,"Soya bean oil, refined"
0.05,0.05 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,SO 0495,Rape seed
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,VR 0589,Potato
1.0,1 mg/Kg,8,41,,2009,,,,,,,CXL,Methomyl,VO 0448,Tomato
0.2,0.2 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,AB 0691,"Cotton seed, hulls"
2.0,2 mg/Kg,1,37,34-36,2005,,,,,,,CXL,Methomyl,GC 0654,Wheat
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,GC 0647,Oats
1.0,1 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,FS 0014,Plums (including fresh prunes) (subgroup)
10.0,10 mg/Kg,1,37,34-36,2005,,,,,,,CXL,Methomyl,AL 0061,Bean fodder
10.0,10 mg/Kg,4,38,37,2006,,,,,,,CXL,Methomyl,HS 0444,"Peppers chili, dried"
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,PM 0110,Poultry meat
0.2,0.2 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,FS 0247,Peach
0.2,0.2 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,SO 0691,Cotton seed
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,MO 0105,Edible offal (mammalian)
0.7,0.7 mg/Kg,4,37,,2005,,,,,,,CXL,Methomyl,VO 0051,Peppers (subgroup)
3.0,3 mg/Kg,1,37,34-36,2005,,,,,,,CXL,Methomyl,CM 0654,"Wheat bran, unprocessed"
0.07,0.07 mg/Kg,,43,,2011,,,,,,,CXL,Methomyl,HS 0191,"Spices, fruits and berries"
0.3,0.3 mg/Kg,8,41,,2009,,,,,,,CXL,Methomyl,FP 0230,Pear
1.0,1 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,VP 0526,Common bean (pods and/or immature seeds)
3.0,3 mg/Kg,1,37,34-36,2005,,,,,,,CXL,Methomyl,AB 0001,"Citrus pulp, dried"
0.03,0.03 mg/Kg,1,37,34-36,2005,,,,,,,CXL,Methomyl,CF 1211,Wheat flour
0.2,0.2 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,FS 0245,Nectarine
20.0,20 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,AB 1265,Soya bean meal
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,PO 0111,"Poultry, edible offal of"
1.0,1 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,AB 0541,Soya bean hulls
0.2,0.2 mg/Kg,8,41,,2009,,,,,,,CXL,Methomyl,VL 0483,"Lettuce, leaf"
0.2,0.2 mg/Kg,1,,,,,,,,,,CXL,Methomyl,VD 0541,Soya bean (dry)
5.0,5 mg/Kg,,,,1991,,,,,,,CXL,Methomyl,AS 0654,"Wheat, hay and/or straw"
10.0,10 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,AS 0161,"Straw, fodder (dry) and hay of cereal grains and other grass-like plants"
2.0,2 mg/Kg,1,37,34-36,2005,,,,,,,CXL,Methomyl,CF 1210,Wheat germ
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,MM 0095,Meat (from mammals other than marine mammals)
0.2,0.2 mg/Kg,1,,,1991,,,,,,,CXL,Methomyl,VA 0385,"Onion, bulb"
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,CXL,Methomyl,OR 0645,"Maize oil, edible"
0.04,0.04 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,OR 0691,"Cotton seed oil, edible"
0.05,0.05 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,VD 0071,Beans (dry)
0.5,0.5 mg/Kg,4,37,,2005,,,,,,,CXL,Methomyl,AM 0738,Mint hay
2.0,2 mg/Kg,1,,,1991,,,,,,,CXL,Methomyl,VS 0621,Asparagus
2.0,2 mg/Kg,1,37,34-36,2005,,,,,,,CXL,Methomyl,GC 0640,Barley
0.2,0.2 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,OC 0541,"Soya bean oil, crude"
20.0,20 mg/Kg,1,37,34-36,2005,,,,,,,CXL,Methomyl,AL 1020,Alfalfa fodder
0.2,0.2 mg/Kg,8,41,,2009,,,,,,,CXL,Methomyl,VL 0482,"Lettuce, head"
0.3,0.3 mg/Kg,8,41,,2009,,,,,,,CXL,Methomyl,FB 0269,Grapes
1.0,1 mg/Kg,1,36,"34,35",2004,,,,,,,CXL,Methomyl,VP 0061,Beans with pods (Phaseolus spp.) immature pods and succulent seeds)
0.1,0.1 mg/Kg,"01,08",41,34-40,2009,,,,,,Resulting from consideration of methomyl supervised field trial data.,CXL,Methomyl,VC 0045,"Fruiting vegetables, cucurbits (group)"
5.0,5 mg/Kg,1,,,1991,,,,,,,CXL,Methomyl,VP 0063,Peas (pods and succulent=immature seeds)
0.05,0.05 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Pendimethalin,VA 0385,"Onion, bulb"
0.05,0.05 mg/Kg,2016,49,,2017,,,,,,,CXL,Pendimethalin,TN 0085,Tree nuts (group)
4.0,4 mg/Kg,2016,49,,2017,,,(dw),,,,CXL,Pendimethalin,AL 1020,Alfalfa fodder
7.0,7 mg/Kg,2016,49,,2017,,,(dw),,,,CXL,Pendimethalin,AM 0660,Almond hulls
0.1,0.1 mg/Kg,2016,49,,2017,,,,,,,CXL,Pendimethalin,VS 0621,Asparagus
0.02,0.02 mg/Kg,2016,49,,2017,,,,,,,CXL,Pendimethalin,ML 0106,Milks
0.4,0.4 mg/Kg,2016,49,,2017,,,,,,,CXL,Pendimethalin,VA 0387,"Onion, Welsh"
0.05,0.05 mg/Kg,2016,49,,2017,(*),,,,,,CXL,Pendimethalin,VA 0388,Shallot
0.05,0.05 mg/Kg,2016,49,,2017,,,,,,,CXL,Pendimethalin,MO 0105,Edible offal (mammalian)
0.4,0.4 mg/Kg,2016,49,,2017,,,,,,,CXL,Pendimethalin,VA 0389,Spring onion
0.05,0.05 mg/Kg,2019,52,,2021,(*),,,,,,CXL,Pendimethalin,FB 0275,Strawberry
0.05,0.05 mg/Kg,2016,49,,2017,,,,,,,CXL,Pendimethalin,DH 1100,"Hops, dry"
